Id,Sales
1,4683.0
2,9083.0
3,8914.0
4,6089.0
5,8538.0
6,5356.0
7,7643.0
8,7290.0
9,5740.0
10,6152.0
11,6939.0
12,9106.0
13,5623.0
14,9227.0
15,5168.0
16,4842.0
17,6271.0
18,8317.0
19,10277.0
20,9500.0
21,6526.0
22,4374.0
23,5344.0
24,5352.0
25,8777.0
26,11195.0
27,10288.0
28,6708.0
29,4751.0
30,4772.0
31,6487.0
32,10507.0
33,7895.0
34,4743.0
35,6189.0
36,5923.0
37,2733.0
38,7847.0
39,3548.0
40,7402.0
41,7010.0
42,5920.0
43,7910.0
44,8163.0
45,4611.0
46,8270.0
47,8545.0
48,13484.0
49,6177.0
50,7948.0
51,8973.0
52,17241.0
53,6787.0
54,10307.0
55,4756.0
56,3595.0
57,6613.0
58,6126.0
59,11104.0
60,6304.0
61,5935.0
62,8223.0
63,8959.0
64,9340.0
65,3512.0
66,13627.0
67,5574.0
68,5996.0
69,8345.0
70,4341.0
71,7020.0
72,5727.0
73,6914.0
74,11072.0
75,5851.0
76,8827.0
77,8583.0
78,7803.0
79,4572.0
80,7192.0
81,10979.0
82,9106.0
83,3086.0
84,8605.0
85,5093.0
86,5760.0
87,7767.0
88,4187.0
89,8966.0
90,6689.0
91,7063.0
92,8998.0
93,3658.0
94,4898.0
95,4939.0
96,8753.0
97,7979.0
98,4646.0
99,5116.0
100,7928.0
101,6582.0
102,4369.0
103,6832.0
104,6841.0
105,8369.0
106,5535.0
107,4780.0
108,7180.0
109,8905.0
110,9201.0
111,8605.0
112,8178.0
113,5675.0
114,8520.0
115,5991.0
116,7960.0
117,8210.0
118,5915.0
119,8432.0
120,8328.0
121,7663.0
122,5622.0
123,8023.0
124,8551.0
125,8070.0
126,4366.0
127,5719.0
128,8187.0
129,5316.0
130,4702.0
131,7691.0
132,7144.0
133,5955.0
134,7228.0
135,5359.0
136,7999.0
137,8262.0
138,7269.0
139,5581.0
140,5219.0
141,7622.0
142,3276.0
143,7140.0
144,4672.0
145,8735.0
146,6821.0
147,5423.0
148,14273.0
149,5360.0
150,5059.0
151,11057.0
152,7547.0
153,8833.0
154,8110.0
155,6156.0
156,6787.0
157,6249.0
158,8264.0
159,13889.0
160,4827.0
161,3272.0
162,4668.0
163,9232.0
164,8361.0
165,6387.0
166,7144.0
167,5516.0
168,5465.0
169,2851.0
170,4505.0
171,7311.0
172,8605.0
173,6522.0
174,7511.0
175,8971.0
176,9302.0
177,8411.0
178,4655.0
179,8704.0
180,11170.0
181,6172.0
182,8055.0
183,4975.0
184,5982.0
185,4463.0
186,6932.0
187,5018.0
188,10719.0
189,6775.0
190,8237.0
191,7472.0
192,4630.0
193,9456.0
194,16425.0
195,11873.0
196,16389.0
197,3308.0
198,7953.0
199,8826.0
200,6152.0
201,14634.0
202,16879.0
203,3778.0
204,4644.0
205,8061.0
206,4358.0
207,6649.0
208,7656.0
209,8665.0
210,5029.0
211,6191.0
212,6393.0
213,7562.0
214,15183.0
215,7166.0
216,6768.0
217,6321.0
218,5914.0
219,6111.0
220,8143.0
221,5638.0
222,5955.0
223,8996.0
224,5735.0
225,6063.0
226,7691.0
227,7712.0
228,12026.0
229,8376.0
230,7531.0
231,5928.0
232,4266.0
233,6759.0
234,6992.0
235,4954.0
236,4494.0
237,7326.0
238,7764.0
239,10536.0
240,6672.0
241,5398.0
242,5091.0
243,5856.0
244,10433.0
245,5805.0
246,7761.0
247,17512.0
248,7514.0
249,8266.0
250,5426.0
251,5272.0
252,6423.0
253,4628.0
254,4634.0
255,11969.0
256,5436.0
257,16747.0
258,14045.0
259,5571.0
260,7218.0
261,4340.0
262,5480.0
263,6865.0
264,11414.0
265,8902.0
266,11885.0
